name,url,remote_testing,adaptive_irt,test_types,duration
Global Skills Development Report,https://www.shl.com/solutions/products/product-catalog/view/global-skills-development-report/,Yes,No,"['A', 'E', 'B', 'C', 'D', 'P']",Error
.NET Framework 4.5,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,Yes,Yes,['K'],30
.NET MVC (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,Yes,No,['K'],Error
.NET MVVM (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/,Yes,No,['K'],5
.NET WCF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,Yes,No,['K'],Error
.NET WPF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,Yes,No,['K'],Error
.NET XAML (New),https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,Yes,No,['K'],Error
Accounts Payable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/,Yes,No,['K'],Error
Accounts Payable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,Yes,No,['S'],8
Accounts Receivable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,Yes,No,['K'],13
Accounts Receivable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,Yes,No,['S'],Error
ADO.NET (New),https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,Yes,No,['K'],Error
Adobe Experience Manager (New),https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/,Yes,No,['K'],Error
Adobe Photoshop CC,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/,Yes,Yes,['K'],20
Aeronautical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/,Yes,No,['K'],Error
Aerospace Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/,Yes,No,['K'],Error
Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,Yes,No,['K'],7 minutes
Agile Testing (New),https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/,Yes,No,['K'],13
AI Skills,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/,Yes,No,['P'],16
Amazon Web Services (AWS) Development (New),https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,Yes,No,['K'],6
Android Development (New),https://www.shl.com/solutions/products/product-catalog/view/android-development-new/,Yes,No,['K'],Error
Angular 6 (New),https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/,Yes,No,['K'],Error
AngularJS (New),https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/,Yes,No,['K'],9
Apache Hadoop (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/,Yes,No,['K'],Error
Enterprise Java Beans (New),https://www.shl.com/solutions/products/product-catalog/view/enterprise-java-beans-new/,Yes,No,['K'],4
Enterprise Leadership Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/enterprise-leadership-report/,Yes,No,['P'],Not specified
Enterprise Leadership Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/enterprise-leadership-report-2-0/,Yes,No,['P'],Error
Entry Level Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-solution/,Yes,No,"['C', 'P']",Error
Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,Yes,No,"['P', 'C']",Error
Entry Level Customer Service (General) Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-general-solution/,Yes,No,"['C', 'P']",14
Entry Level Hotel Front Desk Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-hotel-front-desk-solution/,Yes,No,"['C', 'P']",Error
Entry Level Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/,Yes,No,"['C', 'P']",20
Entry Level Technical Support Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-technical-support-solution/,Yes,No,"['P', 'C']",Error
ETL Testing (New),https://www.shl.com/solutions/products/product-catalog/view/etl-testing-new/,Yes,No,['K'],Error
Executive Scenarios,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios/,Yes,No,['B'],Error
Executive Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios-narrative-report/,Yes,No,['B'],Error
Executive Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios-profile-report/,Yes,No,['B'],Error
ExpressJS (New),https://www.shl.com/solutions/products/product-catalog/view/expressjs-new/,Yes,No,['K'],Error
Filing - Names (R1),https://www.shl.com/solutions/products/product-catalog/view/filing-names-r1/,Yes,No,['K'],Error
Filing - Numbers,https://www.shl.com/solutions/products/product-catalog/view/filing-numbers/,Yes,No,['K'],3
Financial Accounting (New),https://www.shl.com/solutions/products/product-catalog/view/financial-accounting-new/,Yes,No,['K'],9
Financial and Banking Services (New),https://www.shl.com/solutions/products/product-catalog/view/financial-and-banking-services-new/,Yes,No,['K'],Error
Fire Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/fire-engineering-new/,Yes,No,['K'],Error
Following Instructions v1 - UK (R1),https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-uk-r1/,Yes,No,['K'],Error
Following Instructions v1 - US (R2),https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-us-r2/,Yes,No,['K'],8
Food and Beverage Services (New),https://www.shl.com/solutions/products/product-catalog/view/food-and-beverage-services-new/,Yes,No,['K'],7
Food Science (New),https://www.shl.com/solutions/products/product-catalog/view/food-science-new/,Yes,No,['K'],Error
Front Office Management (New),https://www.shl.com/solutions/products/product-catalog/view/front-office-management-new/,Yes,No,['K'],7
Fundamentals of Chemistry (New),https://www.shl.com/solutions/products/product-catalog/view/fundamentals-of-chemistry-new/,Yes,No,['K'],Error
